4,0,10,0,0,0,0,1,1,1,1
2,0,10,3.5,0,0,0,1,2,2,2
4,0,10,7,0,0,0,1,1,1,1
2,0,10,10.5,0,0,0,1,2,2,2
4,0,10,14,0,0,0,1,1,1,1
4,0,10,17.5,0,0,0,1,1,1,1
2,0,10,21,0,0,0,1,2,2,2
4,0,10,24.5,0,0,0,1,1,1,1
4,0,10,28,0,0,0,1,1,1,1
2,0,10,31.5,0,0,0,1,2,2,2
4,3.5,10,0,0,0,0,1,1,1,1
4,3.5,10,3.5,0,0,0,1,1,1,1
2,3.5,10,7,0,0,0,1,2,2,2
2,3.5,10,10.5,0,0,0,1,2,2,2
4,3.5,10,14,0,0,0,1,1,1,1
2,3.5,10,17.5,0,0,0,1,2,2,2
4,3.5,10,21,0,0,0,1,1,1,1
2,3.5,10,24.5,0,0,0,1,2,2,2
4,3.5,10,28,0,0,0,1,1,1,1
2,3.5,10,31.5,0,0,0,1,2,2,2
2,7,10,0,0,0,0,1,2,2,2
2,7,10,3.5,0,0,0,1,2,2,2
4,7,10,7,0,0,0,1,1,1,1
2,7,10,10.5,0,0,0,1,2,2,2
2,7,10,14,0,0,0,1,2,2,2
4,7,10,17.5,0,0,0,1,1,1,1
2,7,10,21,0,0,0,1,2,2,2
2,7,10,24.5,0,0,0,1,2,2,2
4,7,10,28,0,0,0,1,1,1,1
2,7,10,31.5,0,0,0,1,2,2,2
2,10.5,10,0,0,0,0,1,2,2,2
2,10.5,10,3.5,0,0,0,1,2,2,2
4,10.5,10,7,0,0,0,1,1,1,1
2,10.5,10,10.5,0,0,0,1,2,2,2
4,10.5,10,14,0,0,0,1,1,1,1
4,10.5,10,17.5,0,0,0,1,1,1,1
2,10.5,10,21,0,0,0,1,2,2,2
2,10.5,10,24.5,0,0,0,1,2,2,2
2,10.5,10,28,0,0,0,1,2,2,2
2,10.5,10,31.5,0,0,0,1,2,2,2
2,14,10,0,0,0,0,1,2,2,2
2,14,10,3.5,0,0,0,1,2,2,2
4,14,10,7,0,0,0,1,1,1,1
4,14,10,10.5,0,0,0,1,1,1,1
2,14,10,14,0,0,0,1,2,2,2
4,14,10,17.5,0,0,0,1,1,1,1
4,14,10,21,0,0,0,1,1,1,1
4,14,10,24.5,0,0,0,1,1,1,1
4,14,10,28,0,0,0,1,1,1,1
4,14,10,31.5,0,0,0,1,1,1,1
4,17.5,10,0,0,0,0,1,1,1,1
4,17.5,10,3.5,0,0,0,1,1,1,1
4,17.5,10,7,0,0,0,1,1,1,1
4,17.5,10,10.5,0,0,0,1,1,1,1
2,17.5,10,14,0,0,0,1,2,2,2
4,17.5,10,17.5,0,0,0,1,1,1,1
2,17.5,10,21,0,0,0,1,2,2,2
4,17.5,10,24.5,0,0,0,1,1,1,1
4,17.5,10,28,0,0,0,1,1,1,1
4,17.5,10,31.5,0,0,0,1,1,1,1
2,21,10,0,0,0,0,1,2,2,2
2,21,10,3.5,0,0,0,1,2,2,2
4,21,10,7,0,0,0,1,1,1,1
2,21,10,10.5,0,0,0,1,2,2,2
2,21,10,14,0,0,0,1,2,2,2
4,21,10,17.5,0,0,0,1,1,1,1
4,21,10,21,0,0,0,1,1,1,1
4,21,10,24.5,0,0,0,1,1,1,1
4,21,10,28,0,0,0,1,1,1,1
4,21,10,31.5,0,0,0,1,1,1,1
4,24.5,10,0,0,0,0,1,1,1,1
2,24.5,10,3.5,0,0,0,1,2,2,2
4,24.5,10,7,0,0,0,1,1,1,1
4,24.5,10,10.5,0,0,0,1,1,1,1
2,24.5,10,14,0,0,0,1,2,2,2
4,24.5,10,17.5,0,0,0,1,1,1,1
2,24.5,10,21,0,0,0,1,2,2,2
2,24.5,10,24.5,0,0,0,1,2,2,2
4,24.5,10,28,0,0,0,1,1,1,1
4,24.5,10,31.5,0,0,0,1,1,1,1
4,28,10,0,0,0,0,1,1,1,1
2,28,10,3.5,0,0,0,1,2,2,2
2,28,10,7,0,0,0,1,2,2,2
2,28,10,10.5,0,0,0,1,2,2,2
2,28,10,14,0,0,0,1,2,2,2
2,28,10,17.5,0,0,0,1,2,2,2
4,28,10,21,0,0,0,1,1,1,1
4,28,10,24.5,0,0,0,1,1,1,1
4,28,10,28,0,0,0,1,1,1,1
2,28,10,31.5,0,0,0,1,2,2,2
4,31.5,10,0,0,0,0,1,1,1,1
2,31.5,10,3.5,0,0,0,1,2,2,2
4,31.5,10,7,0,0,0,1,1,1,1
2,31.5,10,10.5,0,0,0,1,2,2,2
2,31.5,10,14,0,0,0,1,2,2,2
4,31.5,10,17.5,0,0,0,1,1,1,1
4,31.5,10,21,0,0,0,1,1,1,1
4,31.5,10,24.5,0,0,0,1,1,1,1
2,31.5,10,28,0,0,0,1,2,2,2
2,31.5,10,31.5,0,0,0,1,2,2,2
1,100,100,100,0,0,0,1,16,16,16
1,340,100,100,0,0,0,1,16,16,16
2,121,100,100,0,0,0,1,16,16,16
2,142,100,100,0,0,0,1,16,16,16
2,162.999,100,100,0,0,0,1,16,16,16
